,row,output,mse,is_alpha_credible,log_lik,c_mean,c_var,post_mean,cost,status,post_var,y_test,ls_dim_1,ls_dim_2,ls_dim_3,ls_dim_4
80,13,g_1,127.61210663059339,1.0,-3.9029166818446663,13582.60271824913,513.2605518513242,13574.73265109675,148.80364561439367,Converged,81.27636799837222,13586.0292039617,2.586330657775582,7.775253510529201,1729.7576789403274,0.9936531212603199
81,13,g_2,6871000.290945823,0.0,-11.02970505456558,28052.171852315765,5454837.3572610095,27357.151526313643,339.31253433766375,Converged,1086686.841665716,29978.4108211843,1.5688601583887427,5.673145450066642,3.875335691224851,183905.8456152405
82,13,g_3,5.443904097544785e-12,1.0,11.157156544798447,-32.64716569806684,5937.983402416978,2.99871821974169,-275.5211241841598,Converged,2.637534635141492e-11,2.998715886524148,649.1044644070178,48204.02443046513,54114.060477549356,759.8823806279391
83,13,g_4,860156126.1357999,1.0,-12.039747948340043,8259423.413995778,132627369330980.67,9158265.089761412,585.9092490704447,Converged,3592847573.21875,9128936.671356462,644383.9349879604,768404.7684598165,11.456327088981674,3.204689857980105
84,14,f_1,0.13700252055096196,1.0,-0.666800926866111,396.15878736243917,2283397.3419610886,46.58714810728429,122.06943279182242,Converged,0.44341667741537094,46.21700959192692,22.587595018332365,79.69167999874527,193.00397351998694,75.62790641732431
85,14,f_2,15.11087918719449,1.0,-3.382614120037176,156.1208986982274,90584.71511447131,3.8900197150542226,198.33259586652895,Converged,121.92628270274145,0.002748282906154809,3.7417007760636247,12.160997482289378,11.57571689830332,125740.62832788358
86,14,g_1,0.25993005480557085,1.0,-2.3535557342627316,13583.310385560353,464.3816055061814,13598.34597671185,150.28160462599655,Converged,17.36163492799767,13597.83614335201,2.527727552936237,6.734240212641402,1498.489097188402,0.9519679353058328
87,14,g_2,128.6375020961249,1.0,-7.522273474914943,28369.4762334446,5454332.272357647,30007.73871110563,339.6461508714168,Converged,543852.502134664,29996.396863721006,4.3012507887881215,5.197521816394745,1.672979857187994,128101.14197142728
88,14,g_3,3.859340472331883e-12,0.0,,-22.924855982970428,5686.984730381241,0.8899067583568581,-277.42191876147183,Converged,0.0,0.8899047938364402,629.898561970317,45404.00396975175,49700.42494375923,655.9452487779294
89,14,g_4,481089932.7191822,1.0,-12.991510016749139,7865988.241775272,125751539802860.72,24450957.67767553,585.771118373922,Converged,30141901943.390625,24472891.44006868,200542.5067380713,241256.4241390061,11.352974784549009,3.1130619393614025
90,15,f_1,0.6919334856071403,1.0,-1.4031462476194627,372.4788283195514,2136376.954864523,124.49219598960843,121.3404191667497,Converged,1.7889636242762208,125.32402138331022,22.321514136532734,77.6101395992286,193.5942859832153,73.88826892398862
91,15,f_2,0.002127885365956593,1.0,-3.619358246193344,131.6185085039913,65527.21927619779,-0.0450473002831302,198.10009696048388,Converged,221.59022063321027,0.0010817075747957382,3.367083171147596,10.770259281458738,11.087544861061726,161937.33100524312
92,15,g_1,3.946908875530728,1.0,-3.411668504777312,13582.703207793915,504.763503833674,13601.282744249374,149.21115288676833,Converged,142.26866828412705,13599.296061366897,2.7125286705911225,6.915993189195067,1884.9713641141914,0.9762513977709258
93,15,g_2,61.07227661957215,1.0,-7.167201203624036,28353.28867531415,5454283.073902556,30005.933432589856,340.00482622662287,Converged,267345.4446350401,29998.118557247308,4.209499782089961,5.203615317252495,1.6927898221464646,133405.86603546087
94,15,g_3,6.425711985351965e-13,1.0,10.049472776107715,-38.39354285616226,9414.119088047322,1.0668282656019201,-286.9619729154328,Converged,2.964952727779746e-10,1.0668290672073084,662.185694554194,78252.32441557683,88591.70443703544,548.255131937409
95,15,g_4,122756217469.11798,0.0,-16.120262252603062,7488289.918227626,107500493383205.55,39553495.856926635,585.0387348193741,Converged,18095749447.3125,39203130.02316267,722728.9701181949,720285.5238588514,10.804765048112598,3.0712145199069636
96,16,f_1,1.4388771797829067,1.0,-1.618224345389435,380.8681707028938,2220315.025801461,50.81582693203217,121.16943939267736,Converged,1.1179211353883147,52.015358999041176,22.1891236030822,79.31120314321292,188.07830382857463,80.45991991506895
97,16,f_2,1.083596549339616,1.0,-3.5297046783547934,137.51419914292325,67558.9732009894,1.2316205046031996,198.17917661709353,Converged,184.13098288884794,0.1906610676703208,3.4389638324771408,11.064741644250658,10.840892299158021,62691.09078528794
98,16,g_1,57.47831228166029,1.0,-3.5640456784441152,13582.402206581128,521.5203252104592,13605.874103322867,149.0620108223001,Converged,125.48008987896128,13598.292658059485,2.6806223509064746,7.1516837607016015,1847.553193707088,1.0128363382208792
99,16,g_2,11845.31418621709,1.0,-7.530781263802987,28072.744443928434,5457682.629007368,29971.273312742072,341.7904431494282,Converged,541340.6455522077,29862.437132240288,1.614905508032766,4.369888499568573,4.004546715699949,118849.12658738431
100,16,g_3,8.359149631151502e-12,1.0,10.050057373677406,6.51998045059026,4746.0477950526165,-2.1416982212465934,-270.54615015816825,Converged,2.8830982046201825e-10,-2.1416953300271913,634.9473092882903,38279.16651025889,41638.74536852482,632.406413013907
101,16,g_4,3503551658.3282385,1.0,-14.397373556765448,8493409.424409125,130844292875489.56,-55723.31594343111,583.7109600358788,Converged,506073135634.78125,3467.491267893851,647863.5468705773,772090.9600260719,11.320525698540191,3.206372697844147
102,17,f_1,1.6859433982170218,1.0,-1.8313280308784454,382.4894632682608,2104228.980209961,4.848503608087412,120.92258093915888,Converged,4.118021490983665,6.1469424392292655,21.87876467370505,79.0850665334495,187.16059453900888,75.62748179293891
103,17,f_2,2139.1636883163956,1.0,-5.676077757448889,142.98959537325277,72610.81480390068,46.25931881735619,196.20532834101124,Converged,733.4723393369932,0.008224902548122108,3.4994143798195267,10.581340964111973,12.657576654139238,61111.94895058317
104,17,g_1,340.56864276878565,0.0,-5.406412908830641,13586.05803845994,462.83343398469674,13555.55241346346,149.44414600256817,Converged,72.62054742343821,13574.00691542826,1.9647873574634234,12.734002773420452,1257.0294532062753,0.786811580827826
105,17,g_2,13252.511824268238,1.0,-7.653189026396765,28327.32453515382,5454578.246583548,29872.588394115253,339.52105575420075,Converged,693418.6005729465,29987.707948597836,4.15537786998958,5.2638877289731445,1.7025886876540657,122835.83937913956
106,17,g_3,4.768365819991539e-13,1.0,10.98275070161559,4.887952238965635,5326.755571872617,0.79405102198184,-264.92720592260656,Converged,4.547473508864641e-11,0.7940517125153888,716.7787985544326,27861.834387493287,31432.808560704252,735.4254291407989
107,17,g_4,26625940.49750413,1.0,-12.543918564418057,8485659.698756494,130973480621974.0,300548.2756888643,585.5519612499197,Converged,12485421242.265625,305708.308682703,713345.6974736634,888226.7800018049,11.352175022181635,3.1961629155057603
108,18,f_1,0.09638609429297396,1.0,-0.9024441332705059,387.6998396910501,2014813.2133528823,100.82404363015735,121.847742043087,Converged,0.8655920112505555,100.51358253067309,22.189394407580476,76.16248242997808,186.69249456342894,72.8844150776805
109,18,f_2,2619.657761101065,0.0,-6.625182303478198,172.50518036628876,102560.33278278954,0.08938180801885665,195.26828831442856,Converged,504.94115548375703,51.27197417203521,3.941106196597484,13.244360361331234,12.578420616651712,113770.37156977033
110,18,g_1,1.6321025481549631,1.0,-2.893589005171957,13583.454488729383,455.68200004522953,13599.608288016278,149.74938727630376,Converged,50.240171575911404,13598.330750326753,2.5032192489515688,6.878923104934743,1424.62846459376,0.9238998947384424
111,18,g_2,11522228.884863948,0.0,-15.02846014503721,28136.96570160691,5124556.825033192,29265.91978017597,336.5748848542495,Converged,786863.7340640016,25871.478900610684,1.5756968024262,4.766549733645987,5.256977767674837,278370.36165816715
112,18,g_3,1.636320723589029e-14,1.0,10.554367736746773,-59.54133514620294,7228.585349373708,-2.917323033585447,-276.43501601859174,Errorb'ABNORMAL_TERMINATION_IN_LNSRCH',1.0822986951097846e-10,-2.9173231615041995,534.4321722298581,44990.96607980253,51384.83124073666,856.5544696648458
113,18,g_4,485976080.4767177,1.0,-13.529585702716545,8493088.59228218,130849736064739.23,-6065.8079843483865,584.5814512518156,Converged,89352537479.71875,15979.05718821998,171819.83384542054,203577.2983829878,11.553678426857468,3.153417362289493
114,19,f_1,2.560009049559024,1.0,-1.9933896349951823,408.63123658612056,2434237.902981014,83.19094745061119,120.77592287741768,Converged,1.4281731192022562,81.5909446226265,22.77395849421335,81.28654532939555,205.26495648296807,77.95249274368884
115,19,f_2,4858.440471248648,0.0,-24.67445010375706,280.1438191384096,216415.4379329788,69.79492321281674,190.12245932101564,Converged,113.57178184264922,0.09240911720719616,9.639725557720647,15.132008903488254,10.844877221497427,169083.21972903586
116,19,g_1,0.9363206478497959,1.0,-3.0138950091731203,13583.126956279828,478.0920610685868,13599.426014128296,149.61737725591166,Converged,65.07395482826149,13598.458377498227,2.598714045895339,6.706329829355565,1344.2885906761492,0.967153747777914
117,19,g_2,8821521.979300993,0.0,-22.833698729534035,27903.6972644294,5455318.919192618,26990.56726720366,333.5657569055246,Converged,282019.88159748726,29960.671975677924,3.711213871902399,4.857719012147304,3.2369139282000114,287288.8186445385
118,19,g_3,6.483232424401945e-12,0.0,,8.395023712788047,7633.07783393253,0.8825383278469463,-277.36096625053386,Errorb'ABNORMAL_TERMINATION_IN_LNSRCH',0.0,0.8825357816277051,800.7929671245,34485.63193263311,38528.078745498984,677.2444991523398
119,19,g_4,410053927.6868399,1.0,-12.018364802035151,8342354.248354965,132496485718482.97,5874370.959043049,585.938649864363,Converged,3941457528.40625,5894620.74737989,661290.4378566121,791378.506365111,11.361137917751664,3.2165165683449692
120,20,f_1,0.3089998189475397,1.0,-1.2790952981994879,384.67752352132095,2379843.4338377784,6.804525328065324,121.46598066893034,Converged,1.7165184719488025,7.360402849600005,22.580104908218107,81.67670019103629,193.55189946184785,76.424151748892
